Course Code,Title (TH),Title (EN),Created At
hT9bTUB1t9cT846u9,วางแผนเกษียณ สไตล์มนุษย์เงินเดือน,null,2024
ZkNNk2avb5gXbBML9,หมดหนี้มีออม,null,2024
HvFKdMPdfCMRGEhu7,วางแผนลดหนี้มีออม สำหรับบัณฑิตยุคใหม่,null,2024
tqVgd7cpybzxhHD6A,วางแผนสร้างเงินออมเพื่ออนาคต,null,2024
4Fah4V4N83kgp56b9,คัมภีร์ 4 รู้ วางแผนดีชีวิตมั่งคง,null,2024
xLFoBKWKJ5CHFvup6,เตรียมความพร้อม สู่ทางเลือกอาชีพในฝัน,null,2024
woDQ9uFamGKA3XhT9,ชีวิตดี เริ่มต้นที่การวางแผน,null,2024
SRU00813,การแปรรูปผลิตภัณฑ์โกโก้และช็อกโกแลตสู่ความยั่งยืนของท้องถิ่น,Cacao and Chocolate Processing for Sustainability Community,2024
DLPW00812,กฎหมายคุ้มครองแรงงานพื้นฐานที่ควรรู้,Labour Law: “Basic labour laws you should know”,2024
STOU00811,การพัฒนาบุคลิกภาพและการพูดเพื่อสร้าง Personal Branding,Personality and Speaking Skills for Personal Branding,2024
STOU00810,เทคนิคการเป็น Influencer อย่างมืออาชีพ,Technique to Professional Influencer,2024
STOU00809,เส้นทางสู่ Influencer,Success to Influencer,2024
SRU00808,ภาษาอังกฤษเพื่อวิชาชีพครู,English for Teacher Profession,2024
NPRU00805,การถ่ายภาพเพื่อการสื่อสาร,Photography for Communication,2024
SPU00594,สุดยอดแนวคิดธุรกิจยุคดิจิทัล,The Ultimate Business Concepts in Digital Era,2020
SRU00602,การเลี้ยงลูกด้วยนมแม่ในยุควิถีใหม่,Breastfeeding in new normal,2024
URU00806,เศรษฐกิจดิจิทัล,Digital Economy,2024
URU00807,การวิเคราะห์โครงการและแผนงานในยุคเศรษฐกิจดิจิทัล,Project and Program Analysis in Digital Economy,2024
SPU00588,โลจิสติกส์และโซ่อุปทานเบื้องต้น,Introduction to Principles of Logistics and Supply Chain Management,2020
SPU00590,การเตรียมพร้อมเพื่ออาชีพการขนส่งสินค้าทางถนน,Career Preparation for Road Freight Transport (Professional Qualification in Logistics),2020
CU00804,การเขียนบทความวิจัยและบทความวิชาการทางสังคมศาสตร์,Social sciences research papers and academic articles writing,2024
SRU00605,เทคนิคพื้นฐานทางจุลชีววิทยา,Basic Techniques in Microbiology,2024
TAT00718,ทักษะการออกแบบที่สำคัญสำหรับผู้ประกอบการท่องเที่ยว,Essential Design Skills for Travel Industry Professionals,2023
TAT00717,ผู้ประกอบการท่องเที่ยวในยุคดิจิทัล,Travel Industry Professionals in the Digital Age,2023
YRU00797,ภาษามลายูสำหรับนักเดินทาง,Malay Language for Travelers,2021
YRU00796,ภาษามลายูเพื่อการสื่อสาร,Malay for Communication,2021
XUETANGX00795,วิศวกรรมน้ำและบำบัดน้ำเสีย: เทคโนโลยีชีวเคมี,Water and Wastewater Treatment Engineering: Biochemical Technology,2022
XUETANGX00794,"ภาษาจีนกลางเพื่อเริ่มสนทนากับ 1,300 ล้านคน",Tsinghua Chinese: Start Talking with 1.3 Billion People,2021
XUETANGX00793,สำรวจแนวคิดหลักของจิตวิทยา,Exploring Psychology's Core Concepts,2021
XUETANGX00792,โลกทัศน์ใหม่ในปรัชญาจีน,New Horizons in Chinese Philosophy,2021
WU00789,จิตวิทยาในการทำงานสาธารณสุข,Work Psychology in Public Health,2022
WU00788,การเพิ่มประสิทธิภาพการทำงานด้วยปัญญาประดิษฐ์,Work Performance Enhancement with AI,2021
WU00787,การคิดสร้างสรรค์เพื่อการพัฒนาตนเอง,Creative Thinking for Personal Development,2022
WU00786,จริยธรรมสารสนเทศสำหรับพลเมืองดิจิทัล,Information Ethics for Digital Citizenship,2022
WU00785,สหกิจศึกษากับการพัฒนาทักษะการทำงานในศตวรรษที่ 21,Cooperative Education and Working Skill Development in 21st Century,2021
WU00784,การนอนหลับกับสุขภาพดี,Healthy Sleep for Healthy Life,2022
WU00783,อาชีวอนามัยและความปลอดภัย,Occupational Health and Safety,2022
WU00782,อนามัยสิ่งแวดล้อมพื้นฐาน,Introduction to Environmental Health,2021
WU00781,การสาธารณสุขพื้นฐาน,Introduction to Public Health,2021
WU00777,เทคโนโลยีสารสนเทศในยุคดิจิทัล,Information Technology in Digital Era,2020
WU00774,ภาษาไทยเพื่อการสื่อสารร่วมสมัย,Thai for Contemporary Communication,2020
WU00773,บริการสารสนเทศสำหรับองค์กรดิจิทัล,Information Services for Digital Organization,2020
WU00772,เมทาดาทาสำหรับการจัดระบบสารสนเทศดิจิทัล,Metadata for Organizing Digital Information,2020
WU00771,กฎหมายอาญาและกฎหมายแพ่งและพาณิชย์สำหรับผู้บริการสุขภาพ,Criminal Law and Civil and Commercial Law for Healthcare Workers,2020
WU00770,การสืบค้นข้อมูลเพื่อการค้นคว้าและเขียนรายงาน,Searching information for research report,2020
WU00769,การแสวงหาความรู้สำหรับผู้เรียนในศตวรรษที่ 21,Knowledge Inquiry for development the 21st Century Skills,2020
WU00768,อินเทอร์เน็ตของสรรพสิ่ง : จากแนวคิดไปสู่ผลิตภัณฑ์,Internet of Things : from idea to product,2020
WU00767,เครื่องมือออนไลน์เพื่อการเรียนรู้ในศตวรรษที่ 21,Online Tools for 21st Century Learning,2020
WU00766,อาหารไทยเพื่อสุขภาพและการชะลอวัย,Thai Food for Health and Anti-Aging,2020
WU00765,การเตรียมสหกิจศึกษา,Pre Cooperative Education,2019
WU00764,จิตวิทยาพัฒนาการวัยรุ่น,Developmental Psychology in Adolescent,2020
WU00763,จิตวิทยาพัฒนาการวัยสูงอายุ,Developmental Psychology in Elderly,2020
WU00762,ความคิดสร้างสรรค์และนวัตกรรม,Creative Thinking and Innovations,2020
WU00761,เทคโนโลยีสารสนเทศสำหรับปัจจุบันและอนาคต,IT for the Present and Beyond,2020
UTCC00760,หลักการบัญชี,Principles of Accounting,2021
UTCC00759,การวางแผนและออกแบบการขนส่ง,Transportation Planning and Design,2021
URU00048,การเป็นผู้ประกอบการในศตวรรษที่ 21,Entrepreneurship in 21 st-Century,2020
URU00050,ปรัชญาเศรษฐกิจพอเพียง,Philosophy of Sufficiency Economy,2020
URU00049,เศรษฐศาสตร์เพื่อการดำเนินชีวิตอย่างมีความสุข,Economics for happy living,2020
UP00755,การสื่อสารในสังคมดิจิทัล,Communication in Digital Societ,2021
UP00754,การใช้ภาษาไทย,Using of Thai Language,2021
UP00753,ภาษาอังกฤษเตรียมพร้อม,Ready English,2020
UP00752,ภาษาอังกฤษสู่โลกกว้าง,Explorative English,2020
TU00014,การแก้ไขปัญหาด้วยการใช้ความคิดสร้างสรรค์,Creative Problem-solving,2021
TU00028,การจัดการตนเองสู่ประสิทธิภาพอย่างมืออาชีพ,Self-Management for professional productivity,2021
TU00013,การตัดสินใจโดยการขับเคลื่อนด้วยข้อมูล,Data - Driven Decision Making,2021
TU00012,ความหลากหลายในสถานที่ทำงาน,Diversity at workplace,2021
TU00011,ความเป็นพลเมืองโลก,Global Citizenship,2021
TSU00746,วัฒนธรรม วิถีชีวิต ประเพณีและความเชื่อในภาคใต้,Culture tradition and believe in Southern of Thailand,2020
TSU00745,ศิลปะ หัตกรรม และการละเล่นพื้นบ้านภาคใต้,Arts handicrafts and Southern folk play,2020
TSU00744,ทักษิณศึกษา,Southern Thai studies (Local wisdom of the South Thailand,2020
TKU00743,สำรวจการกำกับดูแลกิจการของบริษัท,Exploring Corporate Governance,2024
TKU00742,ความรู้ความสามารถและความคิดของ AI,Thinking and Literacy of Artificial Intelligence,2023
TKU00741,เศรษฐกิจหมุนเวียน,Circular Economy,2023
THAIPBS00736,งานสื่อสารสาธารณะเพื่อหาทางออกของสังคม,Solutions & Civic Journalism,2022
THAIPBS00735,การทำสารคดีในแบบสื่อสาธารณะ,Making Documentary for Public Media,2022
THAIPBS00734,จริยธรรมและวิชาชีพสื่อมวลชน,Ethic and Mass Media Profession,2021
THAIPBS00733,สื่อพลเมือง,Citizen Media,2021
THAIPBS00732,เทคนิคการถ่ายภาพในแบบสื่อสาธารณะ,Shooting techniques for Public Media,2021
THAIMOOC00731,SPU005-EN : เทคโนโลยีเสริมการสอน ในยุค Digital,Technology Enhanced Learning for Digital Era,2021
THAIMOOC00730,CU023-KR : 데이터 과학과 그 응용,Data Science Essential and Applications,2021
THAIMOOC00729,MFU001-KR : 특수 목적 관광,Special Interest Tourism,2021
THAIMOOC00728,CMU030-KR : 문화관광경영,Cultural Management for Tourism,2021
THAIMOOC00727,CMU030-EN : การจัดการวัฒนธรรมเพื่อการท่องเที่ยว,Cultural Management for Tourism,2021
THAIMOOC00726,CMU014-KR : 란나 음식,Northern Thai Food,2021
THAIMOOC00725,CMU014-EN : อาหารล้านนา,Northern Thai Food (English Caption),2021
THAIMOOC00724,การสร้างและการจัดการรายวิชา Thai MOOC,Creating and Managing a course for Thai MOOC,2023
THAIMOOC00723,การผลิตวิดีทัศน์สำหรับรายวิชา Thai MOOC,Video Production for Thai MOOC,2023
THAIMOOC00722,การออกแบบรายวิชา Thai MOOC,Instructional Design for Thai MOOC,2023
TBJA00719,ทักษะนักข่าวในยุคดิจิทัล,Journalists' survival guide in Digital age,2022
TAT00716,การตลาดท่องเที่ยวอย่างรับผิดชอบ,Responsible Tourism Marketing,2023
SWU00715,การออกแบบกราฟิกเพื่อการเรียนการสอน,Instructional Graphic Design,2022
SWU00714,การใช้เทคโนโลยีเพื่อส่งเสริมการเรียนรู้,Using Technology to Enhance Learning,2022
SWU00713,ระบบสมองกลฝังตัวและเทคโนโลยีอินเทอร์เน็ตของสรรพสิ่ง,Embedded System and Internet of Things Technology,2021
SWU00712,วิทยาการข้อมูล,Data Science,2020
SWU00711,จิตวิทยาข้ามวัฒนธรรมในที่ทำงาน,Cross-cultural psychology at work,2020
SWU00710,สร้างแบรนด์ดีด้วย R.I.C.H.,Building Good Brand with R.I.C.H.,2020
SWU00709,การออกแบบ Infographic,Infographic Design,2020
SWU00708,การใช้เทคโนโลยีเพื่อการพัฒนางานวิจัย,Use of technology for research development,2020
SWU00707,การสร้างคลังสื่อการเรียนรู้ออนไลน์,Creating Online Learning Resources,2020
SWU00706,Online Classroom ห้องเรียนยุคใหม่,Online Classroom in the 21st century,2020
SWU00705,ภาวะผู้นำการเปลี่ยนแปลงในศตวรรษที่ 21,The change of leadership in the 21st century,2021
SWU00704,การพัฒนาสมรรถนะครูในยุคดิจิทัล,Competency for teacher in digital age,2020
SWU00703,การหลอมรวมเทคโนโลยีสมัยใหม่,Fusion of modern technology,2021
SWU00702,การสร้างเครือข่ายด้วยการสื่อสารผ่าน Social Media,Network Creating with Communication in Social Media,2020
SWU00701,Cloud Technology Tools เพื่อการเรียนรู้ในศตวรรษที่ 21,Cloud Technology Tools for 21st Century Learning,2020
SWU00700,เทคโนโลยีเพื่อการเรียนรู้อย่างสร้างสรรค์,Technology for Creative Learning,2021
SWU00699,ผู้ประกอบการเพื่อสังคมเบื้องต้น,Introduction to Social Entrepreneurship,2020
SUT00698,การประยุกต์ใช้งานและอันตรายของแม่เหล็กไฟฟ้า,Application and danger of Electromagnetic,2020
SUT00697,การเขียนโปรแกรมคอมพิวเตอร์เบื้องต้น สำหรับระบบสารสนเทศ,Basic Computer Programming for Information System,2020
SUT00696,คณิตศาสตร์เพื่อคอมพิวเตอร์,Mathematics for Computer,2020
SU00695,สื่อสมัยใหม่เพื่อการเรียนรู้,New Media for Learning,2022
SU00694,เทคโนโลยีกับการศึกษาร่วมสมัย,Technology and Contemporary Education,2022
SU00693,วิจัยทางเทคโนโลยีการศึกษา,Research in Educational Technology,2022
SU00692,การออกแบบระบบการสอนทางเทคโนโลยีการศึกษา,Instruction System Design in Educational Technology,2022
SU00691,ทักษะการเขียนโปรแกรมคอมพิวเตอร์ด้วยภาษาซี,Computer programming skills with C language,2021
SU00690,ศิลปะศิลปากร,Silpakorn Arts,2020
SU00689,มนุษย์กับศิลปะ,Man and Art,2020
SU00688,พลเมืองดิจิทัล,Digital Citizenship,2020
SU00687,เทคโนโลยีสารสนเทศสำหรับการจัดการจดหมายเหตุและสารสนเทศมรดกทางวัฒนธรรม,Information Technology for Archives and Cultural Heritage Information Management,2020
SU00686,เทคโนโลยีและนวัตกรรมการศึกษา,Technology and Innovation for Education,2021
SU00685,การออกแบบภาพประกอบสื่อสําหรับเด็ก,Children’s Illustration Design,2021
SU00684,การวิจัยทางการศึกษา,Educational Research,2020
SU00683,เทคนิควิธีการจัดการเรียนรู้,Technique and Method of instruction,2021
SU00682,มนุษย์กับสิ่งแวดล้อม,Human and His Environment,2021
SU00681,กิจกรรมเคลื่อนไหวเชิงสร้างสรรค์สำหรับเด็กปฐมวัย,Creative Movement Activities for Young Children,2021
STOU00680,การสร้างต้นแบบโมเดลธุรกิจอย่างมืออาชีพ,The Professional Creation of a Business Model Prototype,2023
STOU00679,การสร้างความคิด เพื่อพิชิตลูกค้า,The Creation of Thinking to Win the Customers,2023
STOU00678,ตั้งกรอบโจทย์อย่างไร...ให้โดนใจลูกค้า,How to Post an Attractive Problem Framework for the Customers,2023
STOU00677,ปฏิบัติการคิดเชิงออกแบบนวัตกรรม,A Thinking Workshop on Innovation Design,2023
